consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,527,101,1087562,1087562,333.65,77.55
Q02,100,1000000,2304,484,1087562,1087562,263.88,61.97
Q03,50000,750000,2685,545,1087562,1087562,267.03,70.29
Q04,200000,800000,581,124,1087562,1087562,283.94,63.79
Q05,300000,100000,3079,666,1087562,1087562,252.44,63.88
Q06,1,1087562,444,95,1087562,1087562,271.42,69.44
Q07,500000,1,514,101,1087562,1087562,283.38,69.40
Q08,250000,600000,1437,300,1087562,1087562,280.85,70.46
Q09,10000,900000,832,169,1087562,1087562,275.80,67.99
Q10,400000,150000,838,167,1087562,1087562,269.72,60.15
